Ticker: IBM  Created on: 11/9/2016 9:30:09 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20160826, 158.880005, 160.440002, 157.850006, 158.320007, 2498900, 156.896637, 0, 1, 157.888321, -999
20160825, 159, 159.539993, 158.419998, 158.630005, 2575000, 157.203847, 0, 1, 158.1019235, -999
20160824, 159.889999, 160.179993, 158.320007, 159.050003, 3645800, 157.620069, 0, 1, 158.755034, -999
20160823, 160.330002, 161.339996, 160.229996, 160.259995, 2838100, 158.819182, 0, 1, 159.574592, -999
20160822, 160, 160.570007, 159.130005, 160, 2039300, 158.561525, 0, 1, 159.2807625, -999
20160819, 160.839996, 160.910004, 159.520004, 160.039993, 2815200, 158.601159, 0, 1, 159.7205775, -999
20160818, 160.889999, 162, 160.440002, 161.360001, 3652000, 159.909299, 0, 1, 160.399649, -999
20160817, 160.970001, 161.160004, 159.839996, 160.440002, 3225900, 158.997572, 0, 1, 159.9837865, -999
20160816, 161.110001, 161.929993, 160.690002, 160.699997, 2210200, 159.255229, 0, 1, 160.182615, -999
20160815, 162.399994, 162.970001, 161.779999, 161.880005, 2970400, 160.424628, 0, 1, 161.412311, -999
20160812, 163.190002, 163.460007, 161.520004, 161.949997, 2543100, 160.493991, 0, 1, 161.8419965, -999
20160811, 162.25, 164.949997, 162.179993, 163.529999, 8768600, 162.059788, 0, 1, 162.154894, -999
20160810, 162.190002, 162.660004, 161.960007, 162.080002, 2466700, 160.622827, 0, 1, 161.4064145, -999
20160809, 162.220001, 162.770004, 161.649994, 161.770004, 2737500, 160.315616, 0, 1, 161.2678085, -999
20160808, 162.729996, 163.270004, 161.580002, 162.039993, 3039300, 160.583178, 0, 1, 161.656587, -999
20160805, 162, 163.509995, 161.570007, 163.5, 3812400, 160.642641, 0, 1, 161.3213205, -999
20160804, 160.860001, 161.699997, 160.119995, 161.550003, 2489100, 158.726723, 0, 1, 159.793362, -999
20160803, 160.130005, 160.860001, 159.800003, 160.669998, 2861700, 157.862097, 0, 1, 158.996051, -999
20160802, 161.270004, 161.449997, 160.360001, 160.580002, 3080900, 157.773673, 0, 1, 159.5218385, -999
20160801, 160.649994, 161.649994, 159.839996, 161.449997, 2823600, 158.628464, 0, 1, 159.639229, -999
20160729, 161.360001, 161.669998, 160.029999, 160.619995, 3547500, 157.812968, 0, 1, 159.5864845, -999
20160728, 161.380005, 161.809998, 160.710007, 161.369995, 2340400, 158.549861, 0, 1, 159.964933, -999
20160727, 162.119995, 162.570007, 161.179993, 161.830002, 2162700, 159.001828, 0, 1, 160.5609115, -999
20160726, 162.649994, 163.600006, 161.369995, 162.119995, 2894600, 159.286753, 0, 1, 160.9683735, -999
20160725, 162, 162.880005, 161.75, 162.649994, 2804600, 159.80749, 0, 1, 160.903745, -999
20160722, 160.779999, 162.169998, 160.479996, 162.070007, 2520100, 159.237639, 0, 1, 160.008819, -999
20160721, 160.75, 161.850006, 159.889999, 160.449997, 3518900, 157.645941, 0, 1, 159.1979705, -999
20160720, 159.970001, 161.710007, 159.600006, 161.360001, 4376300, 158.540041, 0, 1, 159.255021, -999
20160719, 161.779999, 162.139999, 157.889999, 159.580002, 7120000, 156.79115, 0, 1, 159.2855745, -999
20160718, 159.300003, 160.75, 158.729996, 159.860001, 6729700, 157.066255, 0, 1, 158.183129, -999
20160715, 159.899994, 159.979996, 158.5, 159.779999, 4476800, 156.987651, 0, 1, 158.4438225, -999
20160714, 158.809998, 161.399994, 158.580002, 160.279999, 4637600, 157.478913, 0, 1, 158.1444555, -999
20160713, 157.75, 158.339996, 157.059998, 158.020004, 2746400, 155.258415, 0, 1, 156.5042075, -999
20160712, 156, 157.119995, 155.520004, 157.039993, 3843800, 154.295531, 0, 1, 155.1477655, -999
20160711, 154.600006, 156.039993, 154.5, 155.330002, 2833700, 152.615423, 0, 1, 153.6077145, -999
20160708, 154, 154.600006, 153.080002, 154.460007, 3040600, 151.760633, 0, 1, 152.8803165, -999
20160707, 152.75, 153.690002, 151.889999, 152.600006, 2138400, 149.933138, 0, 1, 151.341569, -999
20160706, 151.850006, 152.410004, 149.919998, 152.369995, 2569400, 149.707146, 0, 1, 150.778576, -999
20160705, 151.190002, 152, 150.759995, 151.679993, 2465200, 149.029203, 0, 1, 150.1096025, -999
